Family,2005L2-85,2005L2-77,2005L2-84,2005L2-82,2005L2-81,2005L2-80,2005L2-83,2005L2-76
Didymellaceae,84519,50450,47619,44895,57881,49604,70658,61140
Fomitopsidaceae,59026,29588,32952,27310,40728,30128,45320,41825
Trichocomaceae,41127,25190,22781,21998,27618,23946,34119,28696
Aspergillaceae,12985,7969,6944,7055,8031,7275,11323,8720
Ceratobasidiaceae,5675,2619,3078,2313,3104,2661,4259,3599
Chaetothyriaceae,3387,1932,1750,1696,2168,1852,2936,2303
Ramalinaceae,1600,1051,1296,983,1073,1052,1424,1436
Russulaceae,1291,619,838,695,831,636,1200,872
Geastraceae,1592,553,908,676,294,693,1774,476
Nectriaceae,1076,517,521,544,461,697,940,679
Malasseziaceae,1058,508,551,504,635,494,922,695
Saccharomycetaceae,783,321,468,359,399,339,695,520
Gomphidiaceae,569,383,572,362,370,334,512,562
Ceratocystidaceae,398,213,223,221,206,192,391,290
Hemiphacidiaceae,317,185,212,178,202,191,257,253
Ganodermataceae,203,119,181,132,182,150,200,186
Phyllostictaceae,219,156,169,116,135,149,194,210
Trichomeriaceae,237,142,155,113,154,131,230,173
Meruliaceae,227,131,176,103,114,119,172,210
Plectosphaerellaceae,279,97,135,100,83,164,202,132
Botryosphaeriaceae,101,164,78,178,82,96,356,110
Mortierellaceae,121,175,95,94,212,95,105,194
Sporidiobolaceae,167,132,131,122,118,98,124,134
Ophiocordycipitaceae,204,120,106,111,129,94,121,129
Lentitheciaceae,166,97,131,116,105,102,141,109
Tubeufiaceae,143,83,107,79,95,91,138,136
Geoglossaceae,154,94,106,92,83,93,152,97
Clavicipitaceae,135,119,71,93,143,63,72,141
Boletaceae,127,75,112,58,87,84,112,127
Helvellaceae,124,91,100,82,85,68,100,117
Hypocreaceae,97,108,55,108,130,59,78,109
unidentified,122,73,70,65,111,58,103,102
Tricholomataceae,102,57,61,63,66,61,106,85
Microascaceae,57,134,39,53,89,40,58,117
Strigulaceae,93,70,71,63,56,55,97,80
Psathyrellaceae,80,91,29,53,65,62,73,70
Chaetomiaceae,58,89,41,60,95,43,49,83
Cladosporiaceae,98,18,82,129,11,52,82,31
Lasiosphaeriaceae,44,103,24,73,82,31,73,66
Onygenaceae,72,69,59,54,58,49,52,65
Hypocreales_fam_Incertae_sedis,91,27,34,62,32,54,75,100
Tremellaceae,92,40,58,63,28,53,80,58
Hydnodontaceae,124,24,61,36,6,47,134,23
Trichosporonaceae,48,58,29,46,119,33,18,104
Xylariaceae,78,37,69,44,41,36,71,50
Phaeosphaeriaceae,74,38,54,35,40,51,63,70
Mycosphaerellaceae,93,41,39,33,47,43,61,59
Exobasidiaceae,67,45,48,38,40,43,46,49
Coryneliaceae,50,41,65,38,36,36,58,49
Corynesporascaceae,168,1,79,0,1,40,1,70
Trematosphaeriaceae,67,42,43,33,39,25,46,56
Entolomataceae,63,23,50,30,34,35,49,54
Sclerotiniaceae,50,40,40,33,34,30,51,52
Tuberaceae,56,27,46,30,34,34,48,49
Umbilicariaceae,38,32,42,37,45,30,37,49
Helotiaceae,78,28,57,12,18,40,20,49
Serendipitaceae,40,22,30,36,23,64,43,27
Bulleribasidiaceae,59,38,24,27,20,32,43,36
Debaryomycetaceae,45,28,34,32,24,26,41,41
Herpotrichiellaceae,51,23,31,35,18,30,51,26
Agaricaceae,37,42,23,27,34,25,20,41
Cantharellales_fam_Incertae_sedis,32,31,36,29,25,27,23,38
Bionectriaceae,27,41,21,37,15,23,56,20
Morosphaeriaceae,30,26,33,38,21,30,31,29
Pluteaceae,34,30,21,28,37,20,22,45
Cortinariaceae,38,10,35,28,38,31,23,30
Melanconidaceae,14,37,24,37,20,11,69,17
Trapeliaceae,40,22,22,25,40,16,41,21
Hyaloscyphaceae,37,27,22,23,28,21,35,32
Sordariales_fam_Incertae_sedis,23,39,15,35,48,13,17,35
Parmeliaceae,38,12,25,11,27,30,35,32
Auriculariaceae,18,23,13,26,18,16,64,32
Hygrophoraceae,24,21,31,15,17,30,25,43
Hyphodermataceae,31,23,19,25,18,29,39,21
Didymosphaeriaceae,41,20,20,20,25,20,35,20
Wallemiaceae,40,13,22,25,13,14,50,16
Pyronemataceae,26,25,19,18,17,25,26,22
Inocybaceae,28,15,25,14,10,22,33,16
Teloschistaceae,24,13,22,18,17,23,27,19
Magnaporthaceae,31,15,20,13,11,13,30,25
Sporormiaceae,23,19,11,14,11,23,37,17
Clavulinaceae,28,18,24,18,9,20,14,21
Phaeomoniellaceae,20,17,17,18,18,11,19,26
Cucurbitariaceae,24,14,12,10,12,20,23,27
Xylonomycetaceae,23,16,25,19,8,13,14,19
Filobasidiaceae,9,11,11,21,13,20,21,17
Cunninghamellaceae,29,15,8,9,21,11,5,15
Hymenochaetaceae,20,11,17,7,13,13,9,22
Saccharomycetales_fam_Incertae_sedis,17,9,12,11,4,34,4,16
Auriscalpiaceae,14,7,12,16,10,23,14,10
Candelariaceae,14,16,10,9,6,23,14,13
Microdochiaceae,13,9,12,6,7,11,27,15
Cordycipitaceae,17,18,13,18,8,8,9,9
Peniophoraceae,27,6,7,11,10,12,16,7
Leptosphaeriaceae,11,11,12,13,17,8,10,13
Chaetothyriales_fam_Incertae_sedis,18,10,9,8,9,13,11,14
Serpulaceae,8,16,5,11,18,2,2,29
Pannariaceae,12,8,7,11,11,14,17,10
Verrucariaceae,15,11,14,5,8,11,15,10
Stachybotryaceae,23,12,10,4,7,20,6,6
Cerrenaceae,13,9,15,6,7,8,12,17
Agaricales_fam_Incertae_sedis,11,9,8,16,10,10,15,7
Discinaceae,17,16,6,11,10,9,9,8
Halosphaeriaceae,5,21,2,12,5,10,26,5
Pleosporaceae,13,7,9,8,8,10,14,14
Onygenales_fam_Incertae_sedis,12,9,12,6,7,6,18,8
Glomerellaceae,11,6,7,7,2,35,4,6
Bambusicolaceae,12,6,13,5,8,4,6,20
Amanitaceae,6,10,14,4,6,11,16,7
Graphidaceae,17,5,10,10,5,7,10,9
Teratosphaeriaceae,9,10,11,12,5,4,10,9
Arthrodermataceae,14,9,8,4,7,6,9,12
Trichosphaeriaceae,28,0,11,0,0,12,0,17
Sarrameanales_fam_Incertae_sedis,6,13,12,6,7,10,10,4
Capnodiaceae,18,8,7,11,1,5,15,3
Bankeraceae,10,5,5,7,7,12,7,13
Falcocladiaceae,16,3,9,5,7,6,10,8
Aporpiaceae,5,11,6,14,8,4,4,11
Gomphaceae,9,0,9,12,4,8,13,8
Phaffomycetaceae,5,5,1,2,4,44,1,0
Thermoascaceae,8,3,11,6,5,9,11,8
Diaporthaceae,9,7,6,4,5,4,10,14
Schizoporaceae,11,6,6,12,7,5,6,3
Helotiales_fam_Incertae_sedis,10,8,2,4,3,7,6,13
Pleosporales_fam_Incertae_sedis,4,8,2,8,9,7,9,6
Brachybasidiaceae,2,1,2,34,3,0,7,3
Marasmiaceae,11,1,2,3,5,16,4,9
Erysiphaceae,8,9,4,7,9,3,6,4
Lyophyllaceae,6,3,9,7,7,2,11,5
Dermateaceae,7,6,9,7,3,6,8,3
Thelephoraceae,5,10,8,4,4,5,9,4
Exidiaceae,5,2,8,5,11,4,6,7
Kickxellaceae,1,11,6,1,12,2,1,14
Chaetosphaeriaceae,5,10,3,4,5,7,10,4
Trichomonascaceae,5,5,6,2,10,6,1,10
Icmadophilaceae,6,1,9,6,4,13,3,3
Acarosporaceae,7,0,8,4,8,8,2,7
Dictyosporiaceae,8,4,5,4,7,3,5,7
Sordariaceae,5,1,6,1,4,5,8,11
Orbiliaceae,8,1,6,3,7,3,7,6
Bolbitiaceae,3,4,5,4,3,3,9,10
Polyporaceae,9,2,3,3,4,11,3,4
Aureobasidiaceae,11,0,7,1,1,0,10,8
Cystobasidiaceae,1,4,3,7,5,5,7,5
Steccherinaceae,5,9,4,3,3,4,5,4
Peltulaceae,7,1,5,4,6,3,5,6
Omphalotaceae,5,5,3,2,3,8,7,3
Rhizopogonaceae,2,5,4,6,11,3,1,3
Corticiaceae,5,2,3,3,1,4,9,3
Russulales_fam_Incertae_sedis,6,2,3,2,2,3,9,3
Meripilaceae,4,3,3,3,1,7,5,4
Pezizaceae,5,5,0,8,3,2,3,4
Lobariaceae,4,1,2,4,5,3,4,6
Microstromataceae,6,2,4,3,2,1,6,5
Quambalariaceae,4,4,3,3,5,2,3,3
Cyphellophoraceae,9,1,4,0,2,3,4,4
Ascodesmidaceae,9,2,2,5,2,0,3,4
Jaapiaceae,7,2,4,2,1,5,2,3
Gymnoascaceae,1,5,4,3,5,4,0,4
Glomeraceae,4,4,6,1,3,1,0,6
Ophiostomataceae,6,4,2,7,0,5,0,1
Ustilaginaceae,1,0,0,4,7,0,6,4
Nephromataceae,3,3,2,4,3,2,1,4
Cuniculitremaceae,0,1,0,2,0,4,2,12
Paxillaceae,4,1,1,3,4,3,1,4
Graphiaceae,5,1,0,5,2,2,3,3
Trebouxiaceae,4,3,1,0,0,2,10,0
Periconiaceae,6,2,5,0,1,1,1,4
Punctulariaceae,0,5,1,0,4,0,5,4
Rhytismataceae,2,0,2,4,3,2,2,4
Atheliaceae,0,2,1,4,1,9,0,2
Myrmecridiaceae,0,0,0,0,0,16,1,1
Thyridariaceae,2,5,2,0,2,4,2,1
Ascobolaceae,2,2,1,2,1,0,9,1
Chionosphaeraceae,2,1,4,0,1,5,2,3
Physciaceae,4,1,0,1,2,1,3,5
Saksenaeaceae,0,2,1,1,5,4,1,3
Rhynchogastremataceae,1,2,2,2,1,5,1,3
Chytriomycetaceae,3,1,0,4,4,3,0,2
Hydnangiaceae,1,2,4,3,1,4,1,1
Mucoraceae,3,0,2,0,1,1,2,8
Coniochaetaceae,6,0,1,4,1,0,3,1
Aliquandostipitaceae,4,0,0,3,1,1,5,1
Terramycetaceae,4,4,1,2,1,0,2,1
Chaetomellaceae,1,0,2,2,3,1,2,4
Umbelopsidaceae,0,1,1,2,2,2,2,5
Holtermanniales_fam_Incertae_sedis,4,1,2,1,3,2,2,0
Coriolaceae,2,0,2,2,2,1,0,6
Microstromatales_fam_Incertae_sedis,0,0,1,9,2,2,0,1
Massarinaceae,1,3,0,3,1,1,2,3
Valsaceae,1,5,0,0,4,0,1,3
Polyporales_fam_Incertae_sedis,2,3,1,0,2,2,2,2
Spiculogloeaceae,6,0,1,1,2,1,2,1
Protomycetaceae,3,1,3,1,1,0,3,2
Pucciniaceae,5,1,2,1,0,2,1,1
Eremomycetaceae,0,0,2,1,1,3,2,4
Archaeosporaceae,3,1,0,4,2,0,3,0
Arthopyreniaceae,4,1,0,0,1,2,3,1
Erythrobasidiaceae,1,1,0,4,3,0,1,2
Microbotryaceae,2,1,0,1,1,0,6,1
Trimorphomycetaceae,1,0,0,4,1,1,5,0
Spizellomycetaceae,2,0,4,0,3,1,1,1
Peltigeraceae,5,2,1,1,0,1,1,1
Xylariales_fam_Incertae_sedis,0,1,1,1,4,0,0,4
Caliciaceae,3,1,4,1,1,0,1,0
Capnodiales_fam_Incertae_sedis,3,2,1,1,1,0,2,1
Collemataceae,2,0,3,0,1,3,1,1
Stictidaceae,0,2,1,3,1,1,2,0
Calcarisporiellaceae,1,0,1,0,4,1,1,2
Clathraceae,1,2,1,0,2,1,0,3
Torulaceae,4,0,1,0,0,2,2,1
Sclerodermataceae,0,2,0,2,1,1,2,2
Lachnocladiaceae,1,0,3,1,2,1,1,0
Neolectaceae,0,2,1,0,2,1,1,2
Cudoniaceae,0,2,0,2,1,2,1,1
Myxotrichaceae,3,0,2,0,1,1,2,0
Metschnikowiaceae,0,0,3,1,1,2,0,1
Podoscyphaceae,1,2,0,1,2,1,0,1
Sympoventuriaceae,0,0,2,3,0,0,0,3
Togniniaceae,0,1,0,0,0,0,7,0
Arachnomycetaceae,3,0,0,0,0,0,5,0
Sebacinaceae,0,0,2,0,0,4,1,0
Sarcosomataceae,0,1,2,1,0,1,1,1
Septobasidiaceae,0,0,1,0,1,3,2,0
Microascales_fam_Incertae_sedis,2,0,2,1,0,1,0,1
Megalosporaceae,0,1,0,0,1,2,2,1
Sporocadaceae,1,1,1,0,0,2,1,1
Physalacriaceae,3,0,0,1,0,1,1,1
Pertusariaceae,3,1,0,0,0,0,0,3
Pichiaceae,1,1,0,0,0,5,0,0
Gyrodontaceae,1,2,1,1,0,0,1,0
Rutstroemiaceae,0,1,2,1,1,0,0,1
Gnomoniaceae,0,1,2,0,1,1,0,1
Valsariaceae,0,0,1,2,0,0,3,0
Opegraphaceae,0,1,0,0,0,1,2,2
Amorosiaceae,1,1,0,0,0,0,4,0
Savoryellaceae,0,2,1,0,0,1,2,0
Clavariaceae,0,0,0,0,1,2,1,2
Ascosphaeraceae,1,0,0,2,0,1,2,0
Saccharomycopsidaceae,3,0,1,0,0,0,1,1
Cladoniaceae,1,1,0,1,1,1,0,1
Cephalothecaceae,2,0,0,0,1,1,1,1
Boletales_fam_Incertae_sedis,2,1,1,0,1,0,0,0
Ajellomycetaceae,3,0,0,0,0,1,1,0
Leotiaceae,2,0,0,1,0,1,1,0
Roccellaceae,1,0,1,0,0,1,1,1
Pleurotaceae,0,1,1,2,0,1,0,0
Pacisporaceae,0,1,0,0,3,0,1,0
Boliniaceae,0,2,2,1,0,0,0,0
Pseudeurotiaceae,1,0,1,0,1,0,0,2
Pleurostomataceae,1,0,1,0,2,0,0,1
Chytridiales_fam_Incertae_sedis,0,0,0,1,1,0,0,2
Leprocaulaceae,1,0,1,1,0,0,1,0
Kappamycetaceae,0,0,0,0,0,0,4,0
Favolaschiaceae,0,0,0,2,1,1,0,0
Basidiobolaceae,0,2,0,1,0,0,0,1
Diatrypaceae,2,0,0,2,0,0,0,0
Porpidiaceae,1,0,0,1,0,2,0,0
Phallaceae,0,0,0,1,1,0,1,1
Sarcoscyphaceae,1,0,0,1,0,1,1,0
Tetraplosphaeriaceae,2,0,0,1,0,0,1,0
Phaeococcomycetaceae,0,0,1,0,0,0,1,1
Trigonopsidaceae,0,0,0,1,1,0,0,1
Sordariomycetes_fam_Incertae_sedis,0,0,2,0,1,0,0,0
Pucciniales_fam_Incertae_sedis,0,0,0,0,3,0,0,0
Dipodascaceae,0,0,0,0,0,3,0,0
Tritirachiaceae,0,0,1,0,1,0,1,0
Arthoniaceae,0,0,0,0,0,0,2,1
Phyllachoraceae,2,0,0,0,0,1,0,0
Trypetheliaceae,0,1,0,1,0,0,0,1
Biatriosporaceae,1,0,0,0,1,1,0,0
Lycoperdaceae,1,0,0,0,1,0,0,1
Abrothallaceae,0,0,0,0,0,1,0,2
Vibrisseaceae,1,0,0,0,1,0,0,1
Erythrobasidiales_fam_Incertae_sedis,1,0,0,0,1,0,0,1
Massariaceae,1,0,0,1,0,1,0,0
Coniophoraceae,0,0,1,0,1,0,1,0
Astraeaceae,1,1,0,1,0,0,0,0
Wrightoporiaceae,2,0,0,0,0,0,0,1
Dothideales_fam_Incertae_sedis,0,0,0,0,3,0,0,0
