Genus,2005L2-85,2005L2-77,2005L2-84,2005L2-82,2005L2-81,2005L2-80,2005L2-83,2005L2-76
Ascochyta,66461,38802,35621,34492,45334,38538,55154,46981
Antrodia,58590,29327,32600,27072,40421,29887,44959,41477
Talaromyces,40573,24832,22361,21677,27232,23600,33689,28215
Penicillium,12661,7720,6739,6848,7810,7081,10984,8421
unidentified,6945,3865,3891,3447,4301,3806,5631,4962
Ceramothyrium,3387,1932,1750,1696,2168,1852,2936,2303
Rhizoctonia,2643,1246,1605,1139,1412,1215,2003,1747
Toninia,1583,1035,1280,972,1064,1048,1413,1424
Geastrum,1592,552,908,675,293,692,1770,476
Malassezia,1058,508,551,504,635,494,922,695
Chroogomphus,569,383,572,362,370,334,512,562
Saccharomyces,652,262,357,274,330,254,599,398
Fusarium,376,303,165,306,254,275,591,322
Didymella,385,274,297,258,291,248,388,316
Xenodidymella,342,237,228,163,268,232,342,281
Aspergillus,200,168,143,146,150,127,232,211
Phyllosticta,219,156,169,115,135,149,194,210
Ganoderma,198,117,178,128,178,146,198,182
Trichomerium,236,142,154,110,153,130,229,171
Ilyonectria,222,138,124,156,130,105,226,143
Lasiodiplodia,82,155,64,171,73,87,349,99
Rhodotorula,166,130,130,122,116,95,123,130
Mortierella,111,165,80,89,202,88,94,182
Darksidea,163,91,129,114,104,101,138,107
Calophoma,156,91,119,83,111,85,128,125
Acanthostigma,138,81,105,76,91,88,132,131
Geoglossum,150,89,99,91,80,90,146,89
Kazachstania,118,52,100,77,62,76,85,101
Trichoderma,84,100,49,93,112,47,72,94
Helvella,108,79,79,70,75,60,83,90
Ceriporia,109,67,87,49,57,70,87,115
Gibberella,223,17,102,20,20,112,21,108
Ophiocordyceps,151,42,74,60,55,59,96,58
Metarhizium,98,88,48,66,99,37,50,108
Strigula,93,70,71,63,56,55,97,80
Cladosporium,98,18,82,129,11,52,82,31
Fibroporia,90,46,60,47,58,36,72,71
Cryptococcus,92,40,58,62,28,53,80,58
Trechispora,124,22,61,36,5,45,132,22
Plectosphaerella,78,43,36,38,51,60,72,35
Apiotrichum,41,50,24,43,114,31,16,93
Nothophoma,71,52,50,32,49,38,61,48
Purpureocillium,53,76,31,45,71,33,25,65
Exobasidium,67,45,48,38,40,43,46,49
Corynespora,168,1,79,0,1,40,1,70
